project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action
a8450abe968bb7de,Abu Taher Khan,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD_IDA,,,"Jiaganj Azimganj, Ward no-03 & 4",2024-01-04,6684201,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,1,16.7105,33.421,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
561f639927fa9a3b,Kc Venugopal,Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,SITTING RAJYA SABHA,DISTRICT COLLECTOR JAIPUR_IDA,,,"Jaipur Heritage, 92",2023-08-17,6500000,YELLOW,35.9,3,100.0,0,0,1,0,107,0,0,1,16.25,13.0,false,Ongoing,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
2cb582e463a194a7,Cm Ramesh,Construction of community centers and community halls,Normal/Others,Andhra Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR CUDDAPAH_IDA,Yerraguntla,Potladurthi,"Yerraguntla, Potladurthi",2023-07-14,6500000,YELLOW,35.9,3,100.0,0,0,1,1,198,0,0,1,16.25,13.0,false,Ongoing,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
62db3ca3bb43364f,Pradeep Kumar Singh,Construction of community centers and community halls,Normal/Others,Bihar,ARARIA,DISTRICT PLANNING OFFICER ARARIA_IDA,Kursakatta,Kursakatta,"Kursakatta, Kursakatta",2023-12-26,6192300,YELLOW,40.4,3,100.0,0,45,1,1,1,0,0,3,15.4808,12.3846,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
96a6395311b0bcdd,Adala Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,NELLORE(SC),DISTRICT COLLECTOR NELLORE_IDA,,,"Nellore Municipal Corporation, 30",2023-12-23,6000000,YELLOW,40.4,3,100.0,0,45,1,0,9,0,0,5,15.0,12.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
ceedd76bbbbe5c5c,P C Mohan,"Purchase of smart boards, visual display units and projectors",Normal/Others,Karnataka,BANGALORE CENTRAL,DEPUTY COMMISSIONER BANGALORE URBAN_IDA,,,"Bbmp, 140",2024-01-13,6000000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,6,15.0,12.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
17d5d19748f28bf3,Arjun Singh,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,BARRACKPUR,DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA,Amdanga,Amdanga,"Amdanga, Amdanga",2023-06-24,6000000,YELLOW,35.9,3,100.0,0,0,1,1,1,0,0,2,15.0,30.0,false,Sanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
8884130d4ec87eac,P C Mohan,"Purchase of ambulances (Four, three and two wheelers)",Normal/Others,Karnataka,BANGALORE CENTRAL,DEPUTY COMMISSIONER BANGALORE URBAN_IDA,,,"Bbmp, 110",2024-01-25,6000000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,12,15.0,12.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
b5dfb2ff44318ad1,Vijay Kumar Singh General,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD_IDA,Rajapur,Nagla Firoj Mohanpur,"Rajapur, Nagla Firoj Mohanpur",2023-07-13,5820000,YELLOW,56.3,71,100.0,0,0,2,5,5,0,0,6,14.55,25.9243,false,Sanctioned,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
198ac7b09bb714cd,Rahul Gandhi,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Normal/Others,Kerala,WAYANAD,DISTRICT COLLECTOR KOZHIKODE_IDA,Thamarassery,Kodencheri,"Thamarassery, Kodencheri",2024-01-22,5500000,YELLOW,40.4,3,100.0,0,45,1,1,1,0,0,1,13.75,18.3333,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
d7f2ba661c85e3a1,Balashowry Vallabbhaneni,Construction of culverts and bridges,Normal/Others,Andhra Pradesh,MACHILIPATNAM,DISTRICT COLLECTOR KRISHNA_IDA,Nagayalanka,Ganapeswaram,"Nagayalanka, Ganapeswaram",2023-12-27,5500000,YELLOW,40.4,3,100.0,0,45,1,1,1,0,0,3,13.75,11.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
