Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
119,Andhra Pradesh,Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028),Elected MP,171296045.11
181,Uttar Pradesh,Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,147000000
227,Uttar Pradesh,Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,173830159.11
137,Tamil Nadu,Shri P. Wilson (2025-31) (2025-2031),Elected MP,89248285.42
44,Karnataka,Shri Ajay Makan (2024-30) (2024-2030),Elected MP,147000000
19,Tamil Nadu,Dr. M. Dhanapal (2025-31) (2025-2031),Elected MP,89248285.42
69,Telangana,Shri Damodar Rao Divakonda (2022-28) (2022-2028),Elected MP,239919406.11
54,Uttar Pradesh,Shri B.L. Verma (2020-26) (2020-2026),Elected MP,196063957.11
91,Karnataka,Shri Jaggesh (2022-28) (2022-2028),Elected MP,196063957.11
95,Uttar Pradesh,Shri Jayant Chaudhary (2022-28) (2022-2028),Elected MP,214074707.67000002
42,Kerala,Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,310898953.29
94,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,196063957.11
117,Odisha,Shri Manmohan Samal (2026-32) (2026-2032),Elected MP,49000000
191,Odisha,Shri Subhasish Khuntia (2024-30) (2024-2030),Elected MP,147000000
185,Jammu And Kashmir,Shri Sat Paul Sharma (2025-31) (2025-2031),Elected MP,73500000
26,Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,232203454.24
212,Jharkhand,Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,232524001.2
222,Telangana,Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,147000000
75,Sikkim,Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),Elected MP,150170726.11
59,Madhya Pradesh,Shri Banshilal Gurjar (2024-30) (2024-2030),Elected MP,147000000
194,Arunachal Pradesh,Shri Tai Tagak (2026-32) (2026-2032),Elected MP,49000000
18,Uttar Pradesh,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,196000000
50,Madhya Pradesh,Shri Ashok Singh (2024-30) (2024-2030),Elected MP,147000000
148,Tamil Nadu,Shri R. Dharmar (2022-28) (2022-2028),Elected MP,260812242.52
93,Meghalaya,Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032),Elected MP,49000000
159,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),Elected MP,174518577.11
161,Maharashtra,Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032),Elected MP,49000000
76,Karnataka,Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,147000000
142,Jharkhand,Shri Pradip Kumar Varma (2024-30) (2024-2030),Elected MP,178564551.09
21,Maharashtra,Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,147000000
97,Kerala,Shri Jose K. Mani (2024-30) (2024-2030),Elected MP,122500000
32,Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,207863957.11
138,Assam,Shri Pabitra Margherita (2022-28) (2022-2028),Elected MP,220563957.11
118,Karnataka,Shri Mansoor Ali Khan (2026-32) (2026-2032),Elected MP,49000000
12,Kerala,Dr. John Brittas (2021-27) (2021-2027),Elected MP,245063957.11
68,Tamil Nadu,Shri Constandine Ravindran (2026-32) (2026-2032),Elected MP,49356476.5
210,Kerala,Smt. Jebi Mather Hisham (2022-28) (2022-2028),Elected MP,220563957.11
89,Maharashtra,Shri Imran Pratapgarhi (2022-28) (2022-2028),Elected MP,196000000
92,Karnataka,Shri Jairam Ramesh (2022-28) (2022-2028),Elected MP,220563957.11
25,Uttar Pradesh,Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028),Elected MP,203626524.67000002
98,Tamil Nadu,Shri K.R.N. Rajeshkumar (2022-28) (2022-2028),Elected MP,238513975.53
